id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
218,121.4731384,31.37020975,0.668445403,0.791102822,0.663286392,0.657039377,0.663171429,0.627713863,0.678459881
219,121.4726321,31.37006927,0.55727635,0.808156739,0.588046089,0.608857085,0.67073002,0.575090815,0.63469285
220,121.4721277,31.36992082,0.365664176,0.639737675,0.406270068,0.491171422,0.586241002,0.457749678,0.491139004
221,121.4716229,31.36977437,0.306501006,0.559523863,0.348568241,0.432651223,0.554859822,0.416979682,0.436513973
222,121.4711158,31.36963599,0.404060863,0.692452992,0.455093212,0.506742493,0.606531097,0.482747496,0.524604692
223,121.4706101,31.36949326,0.634514427,0.849429484,0.666934028,0.66763637,0.689104196,0.618354397,0.68766215
224,121.4701011,31.36936214,0.436858781,0.810744975,0.505076677,0.574340448,0.662928068,0.517314445,0.584543899
229,121.4675775,31.36863401,0.657224674,0.848247047,0.684353371,0.676608228,0.689962261,0.630374343,0.697794987
230,121.4670729,31.36851429,0.625058965,0.856700213,0.665358851,0.665196041,0.693692969,0.615294684,0.686883621
231,121.4665771,31.36834253,0.730562045,0.817703027,0.722182686,0.699118384,0.67677984,0.662672922,0.718169817
232,121.4660701,31.36821213,0.705514378,0.763721671,0.699275298,0.669177598,0.640628617,0.642289022,0.686767764
235,121.4645619,31.36777396,0.623119215,0.84406584,0.663475265,0.657100434,0.685812658,0.611825571,0.680899831
271,121.4813598,31.37276126,0.484689802,0.690612623,0.545807807,0.538192886,0.587875305,0.521333066,0.561418582
273,121.4822759,31.37304652,0.428761194,0.490548187,0.393057918,0.485169062,0.542597535,0.47656637,0.469450044
276,121.4835763,31.37116002,0.832450233,0.823695028,0.818582725,0.754049769,0.663801738,0.725863608,0.769740517
277,121.484047,31.37139448,0.714234787,0.827580878,0.742531656,0.696271391,0.659852235,0.653931083,0.715733672
278,121.4845176,31.37162853,0.688648266,0.819164991,0.721190191,0.682129418,0.654029028,0.639875891,0.700839631
279,121.4849724,31.37188895,0.630782319,0.811321804,0.671871393,0.64522394,0.653408546,0.608533614,0.670190269
280,121.4854437,31.37211652,0.825714437,0.787718218,0.804786964,0.73513804,0.646144352,0.716467107,0.75266152
