id,lng,lat,total_2019,total_2013,difference
1445,121.4852579,31.35644786,0.685057127,0.672624712,0.012432415
1446,121.4855129,31.35599096,0.666578863,0.665005526,0.001573337
1447,121.4858049,31.35555452,0.659644644,0.680848575,-0.021203931
1448,121.4860679,31.35510074,0.654571509,0.688480276,-0.033908767
1449,121.4863144,31.35463937,0.683127851,0.691661686,-0.008533835
1450,121.4865903,31.35420423,0.564314955,0.526892059,0.037422896
1451,121.4870331,31.3542732,0.567749578,0.523674182,0.044075396
1479,121.4957676,31.35481991,0.722023274,0.626548792,0.095474482
1480,121.4952677,31.35465828,0.738023508,0.586432095,0.151591413
1481,121.4947674,31.35449617,0.432719546,0.419281151,0.013438395
1482,121.4942621,31.35435108,0.392961846,0.38706847,0.005893376
1483,121.493771,31.35416346,0.374347955,0.363606945,0.01074101
1484,121.4932727,31.3539953,0.328674203,0.280983823,0.04769038
1485,121.4927583,31.35390127,0.374037206,0.2767939,0.097243306
1495,121.4972382,31.35424265,0.478181458,0.449998056,0.028183402
1496,121.49745,31.35376155,0.459104838,0.412070002,0.047034836
1519,121.5248479,31.35416065,0.464102299,0.355324907,0.108777392
1520,121.5252721,31.35514905,0.55435097,0.372325024,0.182025946
1525,121.525713,31.35610135,0.479483906,0.393302214,0.086181692
1526,121.525929,31.35657666,0.590685904,0.322303045,0.268382859
1532,121.5307886,31.35480734,0.544250145,0.604971795,-0.06072165
1533,121.5306043,31.35431536,0.52031337,0.376912143,0.143401227
1535,121.5311224,31.35580302,0.286513812,0.300043455,-0.013529643
1536,121.5313176,31.35628895,0.257272545,0.259460392,-0.002187847
1541,121.5314821,31.35527832,0.391538679,0.366680392,0.024858287
1542,121.5320006,31.35521546,0.532009188,0.445663704,0.086345484
1544,121.5329859,31.35486053,0.377303343,0.333457852,0.043845491
1545,121.5334827,31.35469477,0.349649077,0.334595951,0.015053126
1546,121.5339578,31.35447095,0.313306358,0.346660689,-0.033354331
1547,121.5344471,31.35428627,0.350496588,0.390820399,-0.040323811
1558,121.5276608,31.35459534,0.349575015,0.319419021,0.030155994
1559,121.5281308,31.35435991,0.3883924,0.394641849,-0.006249449
1560,121.5286106,31.35414862,0.396312171,0.387587526,0.008724645
1561,121.529116,31.35401008,0.407326649,0.41427895,-0.006952301
1567,121.5353669,31.35509122,0.507240655,0.579545147,-0.072304492
1568,121.5352201,31.35458734,0.407705866,0.521463535,-0.113757669
1569,121.535069,31.35408369,0.361607992,0.385472935,-0.023864943
1605,121.5589185,31.36005977,0.448575779,0.270481751,0.178094028
1606,121.5594004,31.35986532,0.314640634,0.248800931,0.065839703
1607,121.5598946,31.35968592,0.402447732,0.280520143,0.121927589
1608,121.5603834,31.35949321,0.401102217,0.249842459,0.151259758
1609,121.5608773,31.35931366,0.313017524,0.237769859,0.075247665
1610,121.5613697,31.35913028,0.362721738,0.268520522,0.094201216
1611,121.5618582,31.35893689,0.407559134,0.281031822,0.126527312
1612,121.5623554,31.35876547,0.343591982,0.248126803,0.095465179
1613,121.5628435,31.3585713,0.321017703,0.239642363,0.08137534
1632,121.5639302,31.35456595,0.522504261,0.417149734,0.105354527
1633,121.564095,31.35406877,0.538606227,0.376942549,0.161663678
1634,121.5641347,31.35354596,0.683369603,0.408773019,0.274596584
1635,121.5642084,31.35303148,0.598033057,0.35222909,0.245803967
1677,121.5734417,31.35541031,0.505855403,0.416930912,0.088924491
1678,121.5734399,31.35488437,0.581844201,0.456027864,0.125816337
1680,121.5733949,31.35383559,0.415327627,0.344754064,0.070573563
1726,121.5834238,31.35629546,0.432776342,0.401855617,0.030920725
1727,121.5839365,31.35619642,0.494573529,0.392911871,0.101661658
1729,121.5824465,31.35650874,0.383329561,0.301817262,0.081512299
1730,121.5829666,31.3565473,0.283621669,0.299045323,-0.015423654
1733,121.5817011,31.35748242,0.405691385,0.42987338,-0.024181995
1745,121.5885123,31.35480582,0.72445453,0.710898341,0.013556189
1746,121.5889766,31.35456578,0.4419463,0.436708589,0.005237711
1747,121.5894387,31.35432029,0.506522585,0.450920128,0.055602457
1748,121.5899102,31.35408803,0.521007266,0.539164223,-0.018156957
1749,121.5903751,31.35385012,0.649695309,0.562220694,0.087474615
1750,121.5908714,31.3536828,0.549389387,0.46898142,0.080407967
1755,121.584486,31.35599968,0.682622458,0.447743034,0.234879424
