id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1276,121.4222619,31.35425425,0.704265209,0.615369204,0.710240468,0.644002599,0.54620744,0.625949872,0.641005799
1277,121.4224454,31.35376204,0.405240237,0.445519937,0.470837948,0.465240046,0.458115659,0.460180486,0.450855719
1278,121.4226139,31.3532638,0.802511515,0.683841093,0.786206885,0.706456462,0.585075541,0.690651618,0.709123852
1279,121.4228059,31.35277469,0.668053234,0.619036573,0.679840052,0.619597161,0.550856213,0.607474658,0.624142982
1280,121.4229832,31.35227959,0.78985451,0.662287764,0.7709109,0.691333841,0.577059519,0.680981571,0.695404684
1281,121.4231612,31.35178518,0.622047821,0.620581237,0.652761099,0.597654316,0.547510375,0.583188379,0.603957205
1282,121.4233367,31.35129035,0.261758331,0.398137343,0.338627324,0.383415883,0.432043775,0.373530448,0.364585517
1287,121.421275,31.35509617,0.860358487,0.544006061,0.785041571,0.693008805,0.560434183,0.713170958,0.692670011
1288,121.4239676,31.35502488,0.912209014,0.672321118,0.847835401,0.763802322,0.613295906,0.769121964,0.763097621
1289,121.4218864,31.35519742,0.878197297,0.553772859,0.80775918,0.71113617,0.560429532,0.727804971,0.706516668
1290,121.4226143,31.35539285,0.866364701,0.540079618,0.802806382,0.69994054,0.548196143,0.716597371,0.695664126
1291,121.4231609,31.3554588,0.899505165,0.644257694,0.822246447,0.741181494,0.606813345,0.753092651,0.744516133
1293,121.4254715,31.35535253,0.905016933,0.706033767,0.841242291,0.764182926,0.625924503,0.766265956,0.768111063
1294,121.4259809,31.35546355,0.913017355,0.681004277,0.838507406,0.763882969,0.622668594,0.769949741,0.76483839
1295,121.4264906,31.35558135,0.902867992,0.715304267,0.846497733,0.763380357,0.629998405,0.765745176,0.770632322
1296,121.4270006,31.35569481,0.900133324,0.71915956,0.848933668,0.76392953,0.627748369,0.764250236,0.770692448
1299,121.4298699,31.35339358,0.273601669,0.635246955,0.370977969,0.432684036,0.544520481,0.399346488,0.4427296
1303,121.4298174,31.35480903,0.240694614,0.440219549,0.29830101,0.361527139,0.478022919,0.360844959,0.363268365
1309,121.4293634,31.35633222,0.186258686,0.298276319,0.238298704,0.307904825,0.391630623,0.315948554,0.289719619
1311,121.4279789,31.35594807,0.859557412,0.56741529,0.804797644,0.708122753,0.555269846,0.716739605,0.701983758
1318,121.4327313,31.35715133,0.757489668,0.741063042,0.738060647,0.670095544,0.631736629,0.664833573,0.700546517
1319,121.4329677,31.35668153,0.852326854,0.785167659,0.796902366,0.735061833,0.667082882,0.733158988,0.761616764
1320,121.4332022,31.35621075,0.802772718,0.762248109,0.763367513,0.708870906,0.650080886,0.698878944,0.731036513
1321,121.4334368,31.35573996,0.86249814,0.704246272,0.790049325,0.723187048,0.635218309,0.73165324,0.741142056
1322,121.4336713,31.35526918,0.511889129,0.459807789,0.534640782,0.5,0.48652472,0.514502278,0.50122745
1323,121.4339059,31.3547984,0.652528798,0.5,0.62866236,0.577574792,0.52303145,0.586483825,0.578046871
1329,121.4470254,31.35930632,0.191790215,0.520197457,0.257841921,0.338660401,0.506894584,0.332244855,0.357938239
1330,121.4424458,31.35899822,0.56900352,0.265209123,0.461387601,0.4547026,0.450209793,0.520988986,0.453583604
1331,121.4419226,31.35895245,0.750508511,0.421729501,0.628794063,0.590450829,0.530743702,0.630352503,0.592096518
1332,121.4413967,31.35895298,0.789130047,0.528370663,0.712861014,0.642734214,0.548638021,0.663922158,0.647609353
1333,121.4434886,31.3591049,0.182181126,0.42931066,0.236258856,0.310923361,0.468486422,0.318772715,0.32432219
